,coef,std err,z,P>|z|,[0.025,0.975],Model
const,0.0493,0.04,1.24,0.218,-0.03,0.128,Model_1_TB
ln_TB.L1,0.2157,0.092,2.35,0.021,0.034,0.398,Model_1_TB
ln_TB.L2,0.1109,0.101,1.103,0.273,-0.089,0.31,Model_1_TB
ln_TB.L3,0.2402,0.098,2.462,0.015,0.047,0.434,Model_1_TB
ln_TB.L4,-0.0586,0.097,-0.601,0.549,-0.252,0.135,Model_1_TB
ln_TB.L5,0.2163,0.103,2.096,0.039,0.012,0.421,Model_1_TB
ln_RER_pos.L0,-1.5845,0.958,-1.654,0.101,-3.484,0.315,Model_1_TB
ln_FDI.L0,0.0899,0.058,1.549,0.124,-0.025,0.205,Model_1_TB
ln_FDI.L1,-0.1044,0.078,-1.333,0.186,-0.26,0.051,Model_1_TB
ln_FDI.L2,-0.1246,0.069,-1.818,0.072,-0.26,0.011,Model_1_TB
ln_FDI.L3,0.2478,0.077,3.232,0.002,0.096,0.4,Model_1_TB
ln_FDI.L4,-0.1472,0.081,-1.822,0.071,-0.307,0.013,Model_1_TB
ln_FDI.L5,-0.2051,0.068,-3.034,0.003,-0.339,-0.071,Model_1_TB
ln_FDI.L6,0.1622,0.052,3.138,0.002,0.06,0.265,Model_1_TB
IPI_VN.L0,0.0007,0.0,1.649,0.102,-0.0,0.002,Model_1_TB
ln_M2_diff.L0,18.5231,11.788,1.571,0.119,-4.853,41.899,Model_1_TB
ln_M2_diff.L1,-21.768,11.579,-1.88,0.063,-44.73,1.194,Model_1_TB
ln_M2_diff.L2,-11.5869,11.397,-1.017,0.312,-34.187,11.013,Model_1_TB
ln_M2_diff.L3,-8.415,12.96,-0.649,0.518,-34.116,17.286,Model_1_TB
ln_M2_diff.L4,4.1498,11.151,0.372,0.711,-17.963,26.263,Model_1_TB
ln_M2_diff.L5,-18.3727,10.784,-1.704,0.091,-39.758,3.013,Model_1_TB
ln_M2_diff.L6,-44.5917,11.083,-4.023,0.0,-66.57,-22.613,Model_1_TB
const,2.6966,1.696,1.59,0.115,-0.673,6.066,Model_2_EX
ln_EX.L1,0.3487,0.096,3.646,0.0,0.159,0.539,Model_2_EX
ln_EX.L2,0.2932,0.112,2.611,0.011,0.07,0.516,Model_2_EX
ln_EX.L3,0.2117,0.111,1.904,0.06,-0.009,0.433,Model_2_EX
ln_EX.L4,0.0272,0.103,0.264,0.792,-0.178,0.232,Model_2_EX
ln_EX.L5,0.1537,0.09,1.703,0.092,-0.026,0.333,Model_2_EX
ln_EX.L6,-0.2213,0.083,-2.662,0.009,-0.387,-0.056,Model_2_EX
ln_RER_pos.L0,-2.7185,1.915,-1.42,0.159,-6.524,1.087,Model_2_EX
ln_RER_pos.L1,-1.4271,2.164,-0.66,0.511,-5.726,2.872,Model_2_EX
ln_RER_pos.L2,-5.1136,1.87,-2.735,0.008,-8.829,-1.398,Model_2_EX
ln_RER_pos.L3,4.022,1.861,2.161,0.033,0.324,7.72,Model_2_EX
ln_RER_neg.L0,2.721,2.03,1.34,0.184,-1.313,6.755,Model_2_EX
ln_RER_neg.L1,-5.0978,2.02,-2.523,0.013,-9.112,-1.083,Model_2_EX
ln_FDI.L0,0.1372,0.098,1.399,0.165,-0.058,0.332,Model_2_EX
ln_FDI.L1,0.2803,0.127,2.211,0.03,0.028,0.532,Model_2_EX
ln_FDI.L2,-0.472,0.129,-3.656,0.0,-0.728,-0.216,Model_2_EX
ln_FDI.L3,0.3341,0.167,2.004,0.048,0.003,0.665,Model_2_EX
ln_FDI.L4,-0.2121,0.167,-1.272,0.207,-0.543,0.119,Model_2_EX
ln_FDI.L5,-0.1011,0.158,-0.64,0.524,-0.415,0.213,Model_2_EX
ln_FDI.L6,0.2038,0.098,2.071,0.041,0.008,0.399,Model_2_EX
IPI_VN.L0,0.0059,0.001,4.22,0.0,0.003,0.009,Model_2_EX
IPI_VN.L1,-0.003,0.002,-1.657,0.101,-0.007,0.001,Model_2_EX
IPI_VN.L2,-0.0016,0.002,-0.867,0.388,-0.005,0.002,Model_2_EX
IPI_VN.L3,-0.0021,0.002,-1.167,0.246,-0.006,0.001,Model_2_EX
IPI_VN.L4,0.0002,0.002,0.091,0.927,-0.003,0.004,Model_2_EX
IPI_VN.L5,-0.0025,0.002,-1.534,0.128,-0.006,0.001,Model_2_EX
IPI_VN.L6,0.0049,0.001,3.434,0.001,0.002,0.008,Model_2_EX
ln_M2_diff.L0,-14.4029,20.637,-0.698,0.487,-55.408,26.602,Model_2_EX
ln_M2_diff.L1,-37.7091,19.478,-1.936,0.056,-76.412,0.994,Model_2_EX
ln_M2_diff.L2,-16.2979,19.495,-0.836,0.405,-55.034,22.438,Model_2_EX
ln_M2_diff.L3,38.1506,19.719,1.935,0.056,-1.031,77.332,Model_2_EX
ln_M2_diff.L4,61.6298,19.585,3.147,0.002,22.716,100.544,Model_2_EX
ln_M2_diff.L5,-49.3389,20.701,-2.383,0.019,-90.472,-8.206,Model_2_EX
ln_WTI.L0,0.199,0.079,2.522,0.013,0.042,0.356,Model_2_EX
ln_WTI.L1,0.0615,0.115,0.534,0.594,-0.167,0.29,Model_2_EX
ln_WTI.L2,-0.1872,0.082,-2.284,0.025,-0.35,-0.024,Model_2_EX
const,1.4547,0.982,1.481,0.142,-0.493,3.402,Model_3_IM
ln_IM.L1,0.2276,0.079,2.898,0.005,0.072,0.383,Model_3_IM
ln_IM.L2,0.4317,0.076,5.702,0.0,0.282,0.582,Model_3_IM
ln_IM.L3,0.2414,0.073,3.294,0.001,0.096,0.387,Model_3_IM
ln_RER_pos.L0,-0.2389,1.649,-0.145,0.885,-3.508,3.031,Model_3_IM
ln_RER_pos.L1,-1.4108,1.834,-0.769,0.443,-5.048,2.226,Model_3_IM
ln_RER_pos.L2,-4.418,1.651,-2.676,0.009,-7.693,-1.143,Model_3_IM
ln_RER_pos.L3,2.5934,1.59,1.631,0.106,-0.56,5.747,Model_3_IM
ln_RER_neg.L0,3.0367,1.707,1.779,0.078,-0.349,6.423,Model_3_IM
ln_RER_neg.L1,-3.8668,1.731,-2.234,0.028,-7.3,-0.433,Model_3_IM
ln_FDI.L0,0.0968,0.059,1.632,0.106,-0.021,0.214,Model_3_IM
ln_FDI.L1,0.343,0.078,4.412,0.0,0.189,0.497,Model_3_IM
ln_FDI.L2,-0.3025,0.066,-4.563,0.0,-0.434,-0.171,Model_3_IM
IPI_VN.L0,0.004,0.001,3.346,0.001,0.002,0.006,Model_3_IM
IPI_VN.L1,-0.002,0.001,-1.434,0.155,-0.005,0.001,Model_3_IM
IPI_VN.L2,-0.0018,0.001,-1.477,0.143,-0.004,0.001,Model_3_IM
ln_M2_diff.L0,-5.8072,14.654,-0.396,0.693,-34.869,23.255,Model_3_IM
ln_M2_diff.L1,-32.3273,15.498,-2.086,0.039,-63.063,-1.591,Model_3_IM
ln_M2_diff.L2,-10.3154,14.672,-0.703,0.484,-39.413,18.783,Model_3_IM
ln_M2_diff.L3,45.1697,14.305,3.158,0.002,16.798,73.541,Model_3_IM
ln_M2_diff.L4,61.2208,13.406,4.567,0.0,34.633,87.809,Model_3_IM
ln_WTI.L0,0.0986,0.069,1.437,0.154,-0.038,0.235,Model_3_IM
ln_WTI.L1,0.0997,0.107,0.932,0.354,-0.113,0.312,Model_3_IM
ln_WTI.L2,-0.0317,0.104,-0.305,0.761,-0.238,0.174,Model_3_IM
ln_WTI.L3,-0.1327,0.069,-1.931,0.056,-0.269,0.004,Model_3_IM
